Cryptocurrency,Precio promedio último año (USD),Ranking,Precio actual (USD),Capitalización de mercado (USD),Volumen de operaciones en 24 horas (USD)
Ethereum,1752.2172109898772,2,1660.45,199642499067,5967086646
Bitcoin,26322.453249899936,1,26028.0,506594636339,7913653011
Dai,0.9999268502000519,18,1.0,3956679518,105767058
Tether,1.0006505834173764,3,1.0,82872922766,10906813965
Binancecoin,286.5171970473954,4,207.46,31921158381,571110482
Eos,0.945870761279888,59,0.57362,641806117,93100803
Frax,0.9994908724987613,47,0.997273,804656426,4511114
Usd-coin,1.0001542937552148,6,1.001,25930723257,1738898971
Pax-gold,1926.7238984765534,81,1884.14,470201616,6907246
Tether-gold,1930.883723259854,82,1898.7,468743284,5086322
