timestamp,ethereum,cardano,tether,bnb,dogecoin,usd-coin,solana,tether-gold,tron
2022-08-28,1590.28,0.45,1.0,288.87,0.07,1.0,33.44,1716.22,0.06
2022-09-04,1541.67,0.45,1.0,279.6,0.06,1.0,31.42,1711.36,0.06
2022-09-11,1646.27,0.49,1.0,281.32,0.06,1.0,33.07,1709.23,0.06
2022-09-18,1579.35,0.48,1.0,281.33,0.06,1.0,34.06,1703.96,0.06
2022-09-25,1324.46,0.45,1.0,271.11,0.06,1.0,32.25,1698.04,0.06
2022-10-02,1325.22,0.44,1.0,279.18,0.06,1.0,33.13,1683.56,0.06
2022-10-09,1329.92,0.43,1.0,286.49,0.06,1.0,33.17,1691.72,0.06
2022-10-16,1292.71,0.39,1.0,271.74,0.06,1.0,31.0,1681.39,0.06
2022-10-23,1304.64,0.36,1.0,271.79,0.06,1.0,29.24,1676.48,0.06
2022-10-30,1489.71,0.39,1.0,287.63,0.08,1.0,30.76,1679.15,0.06
2022-11-06,1581.02,0.41,1.0,330.87,0.13,1.0,32.84,1675.03,0.06
2022-11-13,1346.21,0.37,1.0,307.0,0.09,1.0,21.39,1699.19,0.06
2022-11-20,1224.23,0.33,1.0,274.14,0.09,1.0,13.7,1716.96,0.05
2022-11-27,1169.0,0.31,1.0,285.1,0.08,1.0,13.42,1714.1,0.05
2022-12-04,1242.26,0.32,1.0,296.46,0.1,1.0,13.65,1721.6,0.05
2022-12-11,1265.46,0.32,1.0,288.65,0.1,1.0,13.77,1724.17,0.05
2022-12-18,1255.23,0.3,1.0,261.4,0.09,1.0,13.36,1733.12,0.05
2022-12-25,1206.42,0.26,1.0,246.75,0.08,1.0,11.97,1752.2,0.05
2023-01-01,1206.19,0.25,1.0,245.22,0.07,1.0,10.43,1773.17,0.05
2023-01-08,1238.84,0.26,1.0,253.2,0.07,1.0,12.59,1807.63,0.05
2023-01-15,1393.09,0.33,1.0,285.17,0.08,1.0,17.5,1868.79,0.06
2023-01-22,1578.98,0.35,1.0,298.16,0.08,1.0,23.12,1895.02,0.06
2023-01-29,1601.42,0.38,1.0,305.17,0.09,1.0,24.13,1899.86,0.06
2023-02-05,1632.28,0.39,1.0,320.44,0.09,1.0,24.63,1898.06,0.06
2023-02-12,1596.66,0.38,1.0,319.58,0.09,1.0,22.11,1862.11,0.06
2023-02-19,1612.83,0.39,1.0,308.14,0.09,1.0,22.42,1850.31,0.07
2023-02-26,1647.75,0.39,1.0,308.9,0.08,1.0,24.19,1830.67,0.07
2023-03-05,1618.85,0.35,1.0,299.55,0.08,1.0,22.1,1834.32,0.07
2023-03-12,1510.55,0.32,1.0,283.26,0.07,0.99,19.14,1842.54,0.06
2023-03-19,1696.57,0.34,1.0,317.16,0.07,1.0,20.55,1924.65,0.07
2023-03-26,1776.43,0.36,1.01,330.49,0.08,1.0,21.76,1974.93,0.06
2023-04-02,1786.79,0.38,1.0,316.84,0.08,1.0,20.78,1977.59,0.06
2023-04-09,1854.4,0.39,1.0,311.73,0.09,1.0,20.58,2006.77,0.07
2023-04-16,1970.27,0.42,1.0,323.08,0.09,1.0,23.04,2016.61,0.07
2023-04-23,1986.71,0.42,1.0,332.15,0.09,1.0,23.24,1998.31,0.07
2023-04-30,1879.23,0.4,1.0,329.88,0.08,1.0,22.13,1993.41,0.07
2023-05-07,1894.87,0.39,1.0,326.88,0.08,1.0,22.29,2018.31,0.07
2023-05-14,1833.92,0.37,1.0,312.91,0.07,1.0,20.91,2022.83,0.07
2023-05-21,1813.89,0.37,1.0,311.46,0.07,1.0,20.67,1989.28,0.07
2023-05-28,1820.48,0.36,1.0,307.79,0.07,1.0,19.64,1961.55,0.08
2023-06-04,1892.05,0.38,1.0,309.06,0.07,1.0,20.91,1956.99,0.08
2023-06-11,1837.48,0.33,1.0,269.29,0.07,1.0,18.99,1958.1,0.08
2023-06-18,1712.79,0.27,1.0,238.08,0.06,1.0,15.14,1953.37,0.07
2023-06-25,1825.39,0.28,1.0,243.59,0.06,1.0,16.53,1934.94,0.07
2023-07-02,1884.21,0.28,1.0,237.74,0.07,1.0,17.34,1915.03,0.07
2023-07-09,1903.56,0.29,1.0,239.57,0.07,1.0,20.01,1920.29,0.08
2023-07-16,1908.88,0.31,1.0,246.69,0.07,1.0,23.82,1942.04,0.08
2023-07-23,1894.63,0.31,1.0,242.21,0.07,1.0,25.93,1965.67,0.08
2023-07-30,1868.83,0.31,1.0,240.42,0.08,1.0,24.53,1960.31,0.08
2023-08-06,1846.59,0.3,1.0,242.44,0.08,1.0,23.31,1947.2,0.08
2023-08-13,1844.76,0.29,1.0,242.06,0.08,1.0,24.13,1926.8,0.08
2023-08-20,1760.74,0.27,1.0,228.56,0.07,1.0,22.99,1898.3,0.08
2023-08-27,1665.5,0.27,1.0,214.7,0.06,1.0,21.39,1905.48,0.08
