timestamp,ethereum,bitcoin,cardano,tether,bnb,dogecoin,usd-coin,solana,tether-gold,tron
2021-08-29,3209.01,48438.4,2.77,1.0,487.97,0.29,1.0,80.77,1804.85,0.09
2021-09-05,3617.38,48782.33,2.86,1.0,481.48,0.29,1.0,119.69,1812.68,0.09
2021-09-12,3534.96,47719.18,2.61,1.0,437.2,0.27,1.0,173.41,1800.45,0.1
2021-09-19,3450.47,47147.4,2.44,1.0,415.03,0.24,1.0,161.4,1778.75,0.11
2021-09-26,3024.06,43552.54,2.21,1.0,369.7,0.22,1.0,140.61,1759.66,0.1
2021-10-03,3052.88,44000.17,2.15,1.0,374.14,0.21,1.0,144.24,1747.7,0.09
2021-10-10,3524.39,52522.6,2.24,1.0,431.18,0.24,1.0,161.39,1764.14,0.1
2021-10-17,3658.18,58076.36,2.18,1.0,448.98,0.23,1.0,152.04,1772.21,0.1
2021-10-24,3986.65,62785.63,2.15,1.0,483.71,0.25,1.0,176.35,1782.06,0.1
2021-10-31,4208.21,61219.23,2.04,1.0,491.77,0.27,1.0,197.98,1800.03,0.1
2021-11-07,4485.54,61926.05,1.99,1.0,572.18,0.27,1.0,230.73,1805.33,0.1
2021-11-14,4701.4,65296.39,2.1,1.0,637.78,0.27,1.0,239.61,1859.98,0.11
2021-11-21,4361.42,60880.65,1.92,1.0,597.5,0.24,1.01,220.96,1871.73,0.11
2021-11-28,4241.93,56818.95,1.69,1.0,593.85,0.22,1.0,210.08,1805.15,0.1
2021-12-05,4403.23,55531.9,1.57,1.0,610.14,0.21,1.0,212.66,1781.58,0.1
2021-12-12,4205.66,49334.27,1.35,1.0,574.33,0.17,1.0,185.46,1783.31,0.09
2021-12-19,3945.34,47869.73,1.27,1.0,535.44,0.17,1.0,171.96,1787.65,0.09
2021-12-26,4026.81,49182.57,1.35,1.0,537.53,0.18,1.0,183.89,1801.63,0.08
2022-01-02,3821.93,48169.52,1.4,1.0,531.65,0.18,1.0,180.77,1817.15,0.08
2022-01-09,3525.18,44286.26,1.28,1.0,483.51,0.16,1.0,157.19,1809.04,0.07
2022-01-16,3252.59,42778.17,1.23,1.0,468.1,0.16,1.0,144.29,1817.52,0.07
